Day,Date,ISM Manufacturing,normalized,predicted
0,1948-03-31,43.3,-42.2,
30,1948-04-30,45.4,-33.47,
61,1948-05-31,49.5,-16.42,
91,1948-06-30,53.0,-1.87,
122,1948-07-31,48.4,-21.0,
153,1948-08-31,45.1,-34.72,
183,1948-09-30,42.1,-47.19,
214,1948-10-31,47.2,-25.99,
244,1948-11-30,42.4,-45.95,
275,1948-12-31,35.0,-76.72,
306,1949-01-31,32.9,-85.45,
334,1949-02-28,31.3,-92.1,
365,1949-03-31,34.5,-78.79,
395,1949-04-30,35.5,-74.64,
426,1949-05-31,32.6,-86.69,
456,1949-06-30,31.6,-90.85,
487,1949-07-31,39.0,-60.08,
518,1949-08-31,47.0,-26.82,
548,1949-09-30,52.3,-4.78,
579,1949-10-31,51.0,-10.19,
609,1949-11-30,51.0,-10.19,
640,1949-12-31,57.3,16.01,
671,1950-01-31,59.1,23.49,
699,1950-02-28,60.5,29.31,
730,1950-03-31,62.1,35.97,
760,1950-04-30,68.1,60.91,
791,1950-05-31,74.7,88.36,
821,1950-06-30,76.6,96.26,
852,1950-07-31,77.5,100.0,
883,1950-08-31,75.8,92.93,
913,1950-09-30,68.1,60.91,
944,1950-10-31,59.2,23.91,
974,1950-11-30,63.1,40.12,
1005,1950-12-31,67.1,56.76,
1036,1951-01-31,67.8,59.67,
1064,1951-02-28,69.3,65.9,
1095,1951-03-31,65.5,50.1,
1125,1951-04-30,53.5,0.21,
1156,1951-05-31,50.7,-11.43,
1186,1951-06-30,45.5,-33.06,
1217,1951-07-31,42.1,-47.19,
1248,1951-08-31,43.6,-40.96,
1278,1951-09-30,48.1,-22.25,
1309,1951-10-31,49.6,-16.01,
1339,1951-11-30,47.2,-25.99,
1370,1951-12-31,46.5,-28.9,
1401,1952-01-31,44.7,-36.38,
1430,1952-02-29,41.8,-48.44,
1461,1952-03-31,40.0,-55.93,
1491,1952-04-30,36.7,-69.65,
1522,1952-05-31,39.5,-58.0,
1552,1952-06-30,43.3,-42.2,
1583,1952-07-31,48.3,-21.41,
1614,1952-08-31,60.4,28.9,
1644,1952-09-30,56.1,11.02,
1675,1952-10-31,56.2,11.43,
1705,1952-11-30,56.8,13.93,
1736,1952-12-31,55.8,9.77,
1767,1953-01-31,59.4,24.74,
1795,1953-02-28,55.4,8.11,
1826,1953-03-31,50.5,-12.27,
1856,1953-04-30,51.1,-9.77,
1887,1953-05-31,48.9,-18.92,
1917,1953-06-30,48.5,-20.58,
1948,1953-07-31,46.3,-29.73,
1979,1953-08-31,43.5,-41.37,
2009,1953-09-30,40.2,-55.09,
2040,1953-10-31,37.4,-66.74,
2070,1953-11-30,36.9,-68.81,
2101,1953-12-31,35.6,-74.22,
2132,1954-01-31,37.4,-66.74,
2160,1954-02-28,40.7,-53.01,
2191,1954-03-31,44.7,-36.38,
2221,1954-04-30,47.7,-23.91,
2252,1954-05-31,50.1,-13.93,
2282,1954-06-30,52.1,-5.61,
2313,1954-07-31,51.7,-7.28,
2344,1954-08-31,54.4,3.95,
2374,1954-09-30,53.5,0.21,
2405,1954-10-31,58.2,19.75,
2435,1954-11-30,58.8,22.25,
2466,1954-12-31,63.8,43.04,
2497,1955-01-31,63.0,39.71,
2525,1955-02-28,67.8,59.67,
2556,1955-03-31,67.5,58.42,
2586,1955-04-30,68.7,63.41,
2617,1955-05-31,69.5,66.74,
2647,1955-06-30,63.3,40.96,
2678,1955-07-31,66.2,53.01,
2709,1955-08-31,64.8,47.19,
2739,1955-09-30,62.4,37.21,
2770,1955-10-31,63.7,42.62,
2800,1955-11-30,62.0,35.55,
2831,1955-12-31,65.6,50.52,
2862,1956-01-31,60.2,28.07,
2891,1956-02-29,58.2,19.75,
2922,1956-03-31,57.2,15.59,
2952,1956-04-30,55.9,10.19,
2983,1956-05-31,51.2,-9.36,
3013,1956-06-30,47.7,-23.91,
3044,1956-07-31,44.2,-38.46,
3075,1956-08-31,51.5,-8.11,
3105,1956-09-30,55.5,8.52,
3136,1956-10-31,52.7,-3.12,
3166,1956-11-30,55.0,6.44,
3197,1956-12-31,52.7,-3.12,
3198,1957-01-01,53.6,0.62,
3228,1957-01-31,53.6,0.62,
3229,1957-02-01,51.0,-10.19,
3256,1957-02-28,51.0,-10.19,
3257,1957-03-01,47.5,-24.74,
3287,1957-03-31,47.5,-24.74,
3288,1957-04-01,43.1,-43.04,
3317,1957-04-30,43.1,-43.04,
3318,1957-05-01,43.4,-41.79,
3348,1957-05-31,43.4,-41.79,
3349,1957-06-01,45.9,-31.39,
3378,1957-06-30,45.9,-31.39,
3379,1957-07-01,45.7,-32.22,
3409,1957-07-31,45.7,-32.22,
3410,1957-08-01,45.3,-33.89,
3440,1957-08-31,45.3,-33.89,
3441,1957-09-01,45.8,-31.81,
3470,1957-09-30,45.8,-31.81,
3471,1957-10-01,41.1,-51.35,
3501,1957-10-31,41.1,-51.35,
3502,1957-11-01,40.4,-54.26,
3531,1957-11-30,40.4,-54.26,
3532,1957-12-01,36.8,-69.23,
3562,1957-12-31,36.8,-69.23,
3563,1958-01-01,33.4,-83.37,
3593,1958-01-31,33.4,-83.37,
3594,1958-02-01,37.2,-67.57,
3621,1958-02-28,37.2,-67.57,
3622,1958-03-01,39.8,-56.76,
3652,1958-03-31,39.8,-56.76,
3653,1958-04-01,39.1,-59.67,
3682,1958-04-30,39.1,-59.67,
3683,1958-05-01,46.6,-28.48,
3713,1958-05-31,46.6,-28.48,
3714,1958-06-01,51.4,-8.52,
3743,1958-06-30,51.4,-8.52,
3744,1958-07-01,54.7,5.2,
3774,1958-07-31,54.7,5.2,
3775,1958-08-01,57.3,16.01,
3805,1958-08-31,57.3,16.01,
3806,1958-09-01,59.8,26.4,
3835,1958-09-30,59.8,26.4,
3836,1958-10-01,62.3,36.8,
3866,1958-10-31,62.3,36.8,
3867,1958-11-01,62.7,38.46,
3896,1958-11-30,62.7,38.46,
3897,1958-12-01,60.5,29.31,
3927,1958-12-31,60.5,29.31,
3928,1959-01-01,64.4,45.53,
3958,1959-01-31,64.4,45.53,
3959,1959-02-01,66.9,55.93,
3986,1959-02-28,66.9,55.93,
3987,1959-03-01,67.1,56.76,
4017,1959-03-31,67.1,56.76,
4018,1959-04-01,66.9,55.93,
4047,1959-04-30,66.9,55.93,
4048,1959-05-01,68.2,61.33,
4078,1959-05-31,68.2,61.33,
4079,1959-06-01,64.4,45.53,
4108,1959-06-30,64.4,45.53,
4109,1959-07-01,61.5,33.47,
4139,1959-07-31,61.5,33.47,
4140,1959-08-01,55.1,6.86,
4170,1959-08-31,55.1,6.86,
4171,1959-09-01,48.3,-21.41,
4200,1959-09-30,48.3,-21.41,
4201,1959-10-01,49.7,-15.59,
4231,1959-10-31,49.7,-15.59,
4232,1959-11-01,50.6,-11.85,
4261,1959-11-30,50.6,-11.85,
4262,1959-12-01,58.2,19.75,
4292,1959-12-31,58.2,19.75,
4293,1960-01-01,61.5,33.47,
4323,1960-01-31,61.5,33.47,
4324,1960-02-01,52.3,-4.78,
4352,1960-02-29,52.3,-4.78,
4353,1960-03-01,47.8,-23.49,
4383,1960-03-31,47.8,-23.49,
4384,1960-04-01,45.3,-33.89,
4413,1960-04-30,45.3,-33.89,
4414,1960-05-01,42.6,-45.11,
4444,1960-05-31,42.6,-45.11,
4445,1960-06-01,44.4,-37.63,
4474,1960-06-30,44.4,-37.63,
4475,1960-07-01,43.7,-40.54,
4505,1960-07-31,43.7,-40.54,
4506,1960-08-01,47.6,-24.32,
4536,1960-08-31,47.6,-24.32,
4537,1960-09-01,45.4,-33.47,
4566,1960-09-30,45.4,-33.47,
4567,1960-10-01,46.0,-30.98,
4597,1960-10-31,46.0,-30.98,
4598,1960-11-01,44.3,-38.05,
4627,1960-11-30,44.3,-38.05,
4628,1960-12-01,44.3,-38.05,
4658,1960-12-31,44.3,-38.05,
4659,1961-01-01,43.9,-39.71,
4689,1961-01-31,43.9,-39.71,
4690,1961-02-01,43.6,-40.96,
4717,1961-02-28,43.6,-40.96,
4718,1961-03-01,49.1,-18.09,
4748,1961-03-31,49.1,-18.09,
4749,1961-04-01,57.6,17.26,
4778,1961-04-30,57.6,17.26,
4779,1961-05-01,58.9,22.66,
4809,1961-05-31,58.9,22.66,
4810,1961-06-01,58.1,19.33,
4839,1961-06-30,58.1,19.33,
4840,1961-07-01,58.2,19.75,
4870,1961-07-31,58.2,19.75,
4871,1961-08-01,60.7,30.15,
4901,1961-08-31,60.7,30.15,
4902,1961-09-01,63.0,39.71,
4931,1961-09-30,63.0,39.71,
4932,1961-10-01,62.2,36.38,
4962,1961-10-31,62.2,36.38,
4963,1961-11-01,59.0,23.08,
4992,1961-11-30,59.0,23.08,
4993,1961-12-01,64.2,44.7,
5023,1961-12-31,64.2,44.7,
5024,1962-01-01,60.9,30.98,
5054,1962-01-31,60.9,30.98,
5055,1962-02-01,61.1,31.81,
5082,1962-02-28,61.1,31.81,
5083,1962-03-01,60.6,29.73,
5113,1962-03-31,60.6,29.73,
5114,1962-04-01,55.1,6.86,
5143,1962-04-30,55.1,6.86,
5144,1962-05-01,52.2,-5.2,
5174,1962-05-31,52.2,-5.2,
5175,1962-06-01,50.8,-11.02,
5204,1962-06-30,50.8,-11.02,
5205,1962-07-01,51.0,-10.19,
5235,1962-07-31,51.0,-10.19,
5236,1962-08-01,49.5,-16.42,
5266,1962-08-31,49.5,-16.42,
5267,1962-09-01,50.0,-14.35,
5296,1962-09-30,50.0,-14.35,
5297,1962-10-01,51.2,-9.36,
5327,1962-10-31,51.2,-9.36,
5328,1962-11-01,53.8,1.46,
5357,1962-11-30,53.8,1.46,
5358,1962-12-01,57.2,15.59,
5388,1962-12-31,57.2,15.59,
5389,1963-01-01,55.2,7.28,
5419,1963-01-31,55.2,7.28,
5420,1963-02-01,55.1,6.86,
5447,1963-02-28,55.1,6.86,
5448,1963-03-01,54.7,5.2,
5478,1963-03-31,54.7,5.2,
5479,1963-04-01,57.6,17.26,
5508,1963-04-30,57.6,17.26,
5509,1963-05-01,59.8,26.4,
5539,1963-05-31,59.8,26.4,
5540,1963-06-01,58.2,19.75,
5569,1963-06-30,58.2,19.75,
5570,1963-07-01,55.5,8.52,
5600,1963-07-31,55.5,8.52,
5601,1963-08-01,55.1,6.86,
5631,1963-08-31,55.1,6.86,
5632,1963-09-01,56.9,14.35,
5661,1963-09-30,56.9,14.35,
5662,1963-10-01,57.7,17.67,
5692,1963-10-31,57.7,17.67,
5693,1963-11-01,57.5,16.84,
5722,1963-11-30,57.5,16.84,
5723,1963-12-01,54.0,2.29,
5753,1963-12-31,54.0,2.29,
5754,1964-01-01,57.1,15.18,
5784,1964-01-31,57.1,15.18,
5785,1964-02-01,57.9,18.5,
5813,1964-02-29,57.9,18.5,
5814,1964-03-01,60.2,28.07,
5844,1964-03-31,60.2,28.07,
5845,1964-04-01,59.2,23.91,
5874,1964-04-30,59.2,23.91,
5875,1964-05-01,58.7,21.83,
5905,1964-05-31,58.7,21.83,
5906,1964-06-01,60.1,27.65,
5935,1964-06-30,60.1,27.65,
5936,1964-07-01,62.9,39.29,
5966,1964-07-31,62.9,39.29,
5967,1964-08-01,63.3,40.96,
5997,1964-08-31,63.3,40.96,
5998,1964-09-01,63.3,40.96,
6027,1964-09-30,63.3,40.96,
6028,1964-10-01,60.7,30.15,
6058,1964-10-31,60.7,30.15,
6059,1964-11-01,61.8,34.72,
6088,1964-11-30,61.8,34.72,
6089,1964-12-01,62.4,37.21,
6119,1964-12-31,62.4,37.21,
6120,1965-01-01,61.0,31.39,
6150,1965-01-31,61.0,31.39,
6151,1965-02-01,62.1,35.97,
6178,1965-02-28,62.1,35.97,
6179,1965-03-01,64.9,47.61,
6209,1965-03-31,64.9,47.61,
6210,1965-04-01,62.0,35.55,
6239,1965-04-30,62.0,35.55,
6240,1965-05-01,61.3,32.64,
6270,1965-05-31,61.3,32.64,
6271,1965-06-01,58.7,21.83,
6300,1965-06-30,58.7,21.83,
6301,1965-07-01,58.1,19.33,
6331,1965-07-31,58.1,19.33,
6332,1965-08-01,58.1,19.33,
6362,1965-08-31,58.1,19.33,
6363,1965-09-01,61.0,31.39,
6392,1965-09-30,61.0,31.39,
6393,1965-10-01,58.6,21.41,
6423,1965-10-31,58.6,21.41,
6424,1965-11-01,59.4,24.74,
6453,1965-11-30,59.4,24.74,
6454,1965-12-01,62.8,38.88,
6484,1965-12-31,62.8,38.88,
6485,1966-01-01,65.8,51.35,
6515,1966-01-31,65.8,51.35,
6516,1966-02-01,65.5,50.1,
6543,1966-02-28,65.5,50.1,
6544,1966-03-01,65.7,50.94,
6574,1966-03-31,65.7,50.94,
6575,1966-04-01,64.2,44.7,
6604,1966-04-30,64.2,44.7,
6605,1966-05-01,57.7,17.67,
6635,1966-05-31,57.7,17.67,
6636,1966-06-01,59.0,23.08,
6665,1966-06-30,59.0,23.08,
6666,1966-07-01,60.3,28.48,
6696,1966-07-31,60.3,28.48,
6697,1966-08-01,58.5,21.0,
6727,1966-08-31,58.5,21.0,
6728,1966-09-01,58.7,21.83,
6757,1966-09-30,58.7,21.83,
6758,1966-10-01,57.2,15.59,
6788,1966-10-31,57.2,15.59,
6789,1966-11-01,53.7,1.04,
6818,1966-11-30,53.7,1.04,
6819,1966-12-01,52.4,-4.37,
6849,1966-12-31,52.4,-4.37,
6850,1967-01-01,49.1,-18.09,
6880,1967-01-31,49.1,-18.09,
6881,1967-02-01,47.6,-24.32,
6908,1967-02-28,47.6,-24.32,
6909,1967-03-01,45.3,-33.89,
6939,1967-03-31,45.3,-33.89,
6940,1967-04-01,42.8,-44.28,
6969,1967-04-30,42.8,-44.28,
6970,1967-05-01,44.5,-37.21,
7000,1967-05-31,44.5,-37.21,
7001,1967-06-01,46.8,-27.65,
7030,1967-06-30,46.8,-27.65,
7031,1967-07-01,49.5,-16.42,
7061,1967-07-31,49.5,-16.42,
7062,1967-08-01,52.2,-5.2,
7092,1967-08-31,52.2,-5.2,
7093,1967-09-01,54.9,6.03,
7122,1967-09-30,54.9,6.03,
7123,1967-10-01,54.1,2.7,
7153,1967-10-31,54.1,2.7,
7154,1967-11-01,54.2,3.12,
7183,1967-11-30,54.2,3.12,
7184,1967-12-01,55.6,8.94,
7214,1967-12-31,55.6,8.94,
7215,1968-01-01,56.6,13.1,
7245,1968-01-31,56.6,13.1,
7246,1968-02-01,55.0,6.44,
7274,1968-02-29,55.0,6.44,
7275,1968-03-01,53.8,1.46,
7305,1968-03-31,53.8,1.46,
7306,1968-04-01,58.0,18.92,
7335,1968-04-30,58.0,18.92,
7336,1968-05-01,55.3,7.69,
7366,1968-05-31,55.3,7.69,
7367,1968-06-01,53.5,0.21,
7396,1968-06-30,53.5,0.21,
7397,1968-07-01,54.1,2.7,
7427,1968-07-31,54.1,2.7,
7428,1968-08-01,52.7,-3.12,
7458,1968-08-31,52.7,-3.12,
7459,1968-09-01,51.8,-6.86,
7488,1968-09-30,51.8,-6.86,
7489,1968-10-01,55.8,9.77,
7519,1968-10-31,55.8,9.77,
7520,1968-11-01,58.1,19.33,
7549,1968-11-30,58.1,19.33,
7550,1968-12-01,56.1,11.02,
7580,1968-12-31,56.1,11.02,
7581,1969-01-01,54.9,6.03,
7611,1969-01-31,54.9,6.03,
7612,1969-02-01,57.0,14.76,
7639,1969-02-28,57.0,14.76,
7640,1969-03-01,57.1,15.18,
7670,1969-03-31,57.1,15.18,
7671,1969-04-01,55.2,7.28,
7700,1969-04-30,55.2,7.28,
7701,1969-05-01,56.7,13.51,
7731,1969-05-31,56.7,13.51,
7732,1969-06-01,55.5,8.52,
7761,1969-06-30,55.5,8.52,
7762,1969-07-01,53.1,-1.46,
7792,1969-07-31,53.1,-1.46,
7793,1969-08-01,54.8,5.61,
7823,1969-08-31,54.8,5.61,
7824,1969-09-01,54.1,2.7,
7853,1969-09-30,54.1,2.7,
7854,1969-10-01,54.6,4.78,
7884,1969-10-31,54.6,4.78,
7885,1969-11-01,53.2,-1.04,
7914,1969-11-30,53.2,-1.04,
7915,1969-12-01,52.0,-6.03,
7945,1969-12-31,52.0,-6.03,
7946,1970-01-01,48.7,-19.75,
7976,1970-01-31,48.7,-19.75,
7977,1970-02-01,47.4,-25.16,
8004,1970-02-28,47.4,-25.16,
8005,1970-03-01,46.9,-27.23,
8035,1970-03-31,46.9,-27.23,
8036,1970-04-01,45.0,-35.14,
8065,1970-04-30,45.0,-35.14,
8066,1970-05-01,47.2,-25.99,
8096,1970-05-31,47.2,-25.99,
8097,1970-06-01,51.1,-9.77,
8126,1970-06-30,51.1,-9.77,
8127,1970-07-01,49.5,-16.42,
8157,1970-07-31,49.5,-16.42,
8158,1970-08-01,47.3,-25.57,
8188,1970-08-31,47.3,-25.57,
8189,1970-09-01,44.1,-38.88,
8218,1970-09-30,44.1,-38.88,
8219,1970-10-01,42.4,-45.95,
8249,1970-10-31,42.4,-45.95,
8250,1970-11-01,39.7,-57.17,
8279,1970-11-30,39.7,-57.17,
8280,1970-12-01,45.4,-33.47,
8310,1970-12-31,45.4,-33.47,
8311,1971-01-01,47.9,-23.08,
8341,1971-01-31,47.9,-23.08,
8342,1971-02-01,54.8,5.61,
8369,1971-02-28,54.8,5.61,
8370,1971-03-01,51.2,-9.36,
8400,1971-03-31,51.2,-9.36,
8401,1971-04-01,54.5,4.37,
8430,1971-04-30,54.5,4.37,
8431,1971-05-01,54.2,3.12,
8461,1971-05-31,54.2,3.12,
8462,1971-06-01,53.8,1.46,
8491,1971-06-30,53.8,1.46,
8492,1971-07-01,54.4,3.95,
8522,1971-07-31,54.4,3.95,
8523,1971-08-01,53.6,0.62,
8553,1971-08-31,53.6,0.62,
8554,1971-09-01,55.1,6.86,
8583,1971-09-30,55.1,6.86,
8584,1971-10-01,55.0,6.44,
8614,1971-10-31,55.0,6.44,
8615,1971-11-01,52.3,-4.78,
8644,1971-11-30,52.3,-4.78,
8645,1971-12-01,57.6,17.26,
8675,1971-12-31,57.6,17.26,
8676,1972-01-01,59.6,25.57,
8706,1972-01-31,59.6,25.57,
8707,1972-02-01,60.6,29.73,
8735,1972-02-29,60.6,29.73,
8736,1972-03-01,59.8,26.4,
8766,1972-03-31,59.8,26.4,
8767,1972-04-01,59.3,24.32,
8796,1972-04-30,59.3,24.32,
8797,1972-05-01,61.4,33.06,
8827,1972-05-31,61.4,33.06,
8828,1972-06-01,58.6,21.41,
8857,1972-06-30,58.6,21.41,
8858,1972-07-01,60.1,27.65,
8888,1972-07-31,60.1,27.65,
8889,1972-08-01,61.7,34.3,
8919,1972-08-31,61.7,34.3,
8920,1972-09-01,65.1,48.44,
8949,1972-09-30,65.1,48.44,
8950,1972-10-01,67.0,56.34,
8980,1972-10-31,67.0,56.34,
8981,1972-11-01,69.9,68.4,
9010,1972-11-30,69.9,68.4,
9011,1972-12-01,70.5,70.89,
9041,1972-12-31,70.5,70.89,
9042,1973-01-01,72.1,77.55,
9072,1973-01-31,72.1,77.55,
9073,1973-02-01,69.6,67.15,
9100,1973-02-28,69.6,67.15,
9101,1973-03-01,69.6,67.15,
9131,1973-03-31,69.6,67.15,
9132,1973-04-01,67.7,59.25,
9161,1973-04-30,67.7,59.25,
9162,1973-05-01,64.8,47.19,
9192,1973-05-31,64.8,47.19,
9193,1973-06-01,65.0,48.02,
9222,1973-06-30,65.0,48.02,
9223,1973-07-01,57.8,18.09,
9253,1973-07-31,57.8,18.09,
9254,1973-08-01,62.7,38.46,
9284,1973-08-31,62.7,38.46,
9285,1973-09-01,63.5,41.79,
9314,1973-09-30,63.5,41.79,
9315,1973-10-01,66.2,53.01,
9345,1973-10-31,66.2,53.01,
9346,1973-11-01,68.1,60.91,
9375,1973-11-30,68.1,60.91,
9376,1973-12-01,63.6,42.2,
9406,1973-12-31,63.6,42.2,
9407,1974-01-01,62.1,35.97,
9437,1974-01-31,62.1,35.97,
9438,1974-02-01,58.6,21.41,
9465,1974-02-28,58.6,21.41,
9466,1974-03-01,61.8,34.72,
9496,1974-03-31,61.8,34.72,
9497,1974-04-01,59.9,26.82,
9526,1974-04-30,59.9,26.82,
9527,1974-05-01,55.7,9.36,
9557,1974-05-31,55.7,9.36,
9558,1974-06-01,54.7,5.2,
9587,1974-06-30,54.7,5.2,
9588,1974-07-01,54.8,5.61,
9618,1974-07-31,54.8,5.61,
9619,1974-08-01,52.9,-2.29,
9649,1974-08-31,52.9,-2.29,
9650,1974-09-01,46.2,-30.15,
9679,1974-09-30,46.2,-30.15,
9680,1974-10-01,42.7,-44.7,
9710,1974-10-31,42.7,-44.7,
9711,1974-11-01,37.9,-64.66,
9740,1974-11-30,37.9,-64.66,
9741,1974-12-01,30.9,-93.76,
9771,1974-12-31,30.9,-93.76,
9772,1975-01-01,30.7,-94.59,
9802,1975-01-31,30.7,-94.59,
9803,1975-02-01,34.4,-79.21,
9830,1975-02-28,34.4,-79.21,
9831,1975-03-01,31.6,-90.85,
9861,1975-03-31,31.6,-90.85,
9862,1975-04-01,37.5,-66.32,
9891,1975-04-30,37.5,-66.32,
9892,1975-05-01,41.2,-50.94,
9922,1975-05-31,41.2,-50.94,
9923,1975-06-01,45.1,-34.72,
9952,1975-06-30,45.1,-34.72,
9953,1975-07-01,47.2,-25.99,
9983,1975-07-31,47.2,-25.99,
9984,1975-08-01,51.4,-8.52,
